sample,label,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_amplitude,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_amplitude,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,NR5A2.10000.txt_amplitude,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_amplitude,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0766m.hg19.frag,0,-0.361446,1.294617,-0.44767,-0.670977,0.318065,-1.238115,0.494232,0.004372,0.546328,-0.318294,0.343852,0.76162,-0.178106,0.006449,-0.568926,1.416713,-1.261523,0.475563,0.188506,0.186667,0.091502,0.858682,-0.502435,-0.903427,-0.890063,0.258617,-0.94163,-0.264127,-1.208022,1.67681,-0.063374,-0.314352,-0.222259,-0.134418,0.192446,0.36837,0.709557,-0.255539,0.193999,-0.002454,1.133818,-0.5019,-0.372779,-1.103804,-0.972906,-0.107645,-0.570284
filtered_MAL0769.hg19.frag,1,1.147317,0.419361,0.06228,0.096989,-1.294251,0.734572,0.388562,0.960784,1.19302,-1.37792,1.14686,0.283986,0.593598,0.419787,0.193523,-0.168481,0.606169,0.067938,-0.303624,-0.10502,1.319083,0.356657,-0.280629,0.435576,-0.64275,0.492508,-0.043024,0.266057,-0.265508,0.46796,-0.995416,0.25539,-0.276001,0.414886,-0.686536,0.717621,0.486211,-0.798309,-0.21805,1.336783,0.524532,-0.353676,-0.228736,0.554239,0.218246,0.061218,1.680911
filtered_MAL0769m.hg19.frag,0,-0.857015,-0.619236,-0.804856,-0.52935,-1.845449,-1.310437,-0.463497,-0.133607,-0.982389,0.072721,-1.343647,-0.582013,-0.309384,0.307805,-0.791856,0.727874,-0.356248,-0.106689,-0.674104,-0.8277,0.837056,-0.486697,-0.254013,-1.049112,0.65619,0.232238,-0.457563,-1.110201,-0.809914,0.460751,-1.864724,-0.704492,-0.686715,-1.137456,-1.480283,-0.523026,-0.984903,-0.918284,-0.522096,0.387801,0.78391,-0.024385,0.010618,-1.31731,-0.112488,0.065172,0.021439
filtered_MAL0779.hg19.frag,1,0.442445,0.35379,1.57447,1.208507,0.850999,1.296219,0.886313,0.424118,0.605161,1.035409,0.049022,0.606024,0.637889,-0.076805,0.636746,-0.903021,-0.409157,0.104236,0.148325,0.046489,-0.157908,0.653725,0.760381,1.119586,0.96362,0.575161,0.596431,1.324289,0.766753,-0.398722,0.789931,0.380932,1.616831,0.564159,0.408373,0.415107,0.011149,0.353314,1.102505,0.843936,-0.828108,-0.217762,1.184528,1.005973,0.678841,1.486466,0.309285
filtered_MAL0779m.hg19.frag,0,-0.785683,-0.8622,-0.51169,-0.351731,-0.228749,-0.574911,-0.593075,-0.094392,0.046953,0.31891,-0.881469,-0.530704,-0.846465,-1.007255,-0.408873,0.881052,-0.101755,-0.816477,-0.511166,-0.167438,0.97194,-0.650184,-0.5813,-0.102157,-0.645396,-0.551649,-0.517083,-0.53861,-0.80053,0.085539,-0.256056,-0.561231,-0.433286,-0.239546,-0.052249,-0.423179,-0.200039,-0.557078,-0.533895,0.1107,0.462675,-0.974661,0.248677,-1.621837,-0.35622,-1.837399,0.736524
filtered_MAL0801.hg19.frag,1,1.406364,0.661154,0.422998,1.297316,0.61211,0.856134,1.120127,0.793756,0.498791,0.787669,0.032812,0.61979,1.257966,1.831586,0.849563,-1.111466,0.002476,0.965106,0.666996,-0.968836,-1.098009,1.036922,0.474991,0.678384,-0.441054,1.747255,0.739175,1.133474,0.890698,-1.909483,0.394966,1.118563,1.211048,0.094497,0.718414,0.45462,0.574919,1.197625,0.636907,0.771015,-0.484041,0.239888,1.174609,0.920009,1.750366,0.611306,1.193733
filtered_MAL0801m.hg19.frag,0,-0.0489,-1.141462,-0.075473,-0.507381,-0.503069,0.199854,-0.098192,-0.127798,0.383008,-1.037959,-0.287427,0.032863,-0.234368,-0.544082,-0.848578,1.315347,-0.404395,-0.384816,-0.323899,1.198375,0.971652,-0.347534,-0.55419,-0.50901,-0.754587,-0.846211,-0.03881,-0.614595,-1.163899,0.719404,-0.663824,-0.271404,-0.57282,-0.187665,-0.694349,-0.133837,-0.130694,-0.555795,-0.046061,0.180603,0.558249,0.311547,-0.688898,-0.753766,0.294372,-0.797332,-0.58492
filtered_MAL0809.hg19.frag,1,-0.111785,1.023551,0.489667,-0.30312,0.88497,-0.801877,0.43542,1.994899,0.712943,0.975405,-0.210762,1.035686,0.420423,0.708244,1.451519,-0.514295,0.752728,1.050457,1.183087,-1.028638,-0.461115,0.997446,0.226568,0.753596,1.315327,0.013295,1.255374,0.737758,-0.602436,-0.720161,1.000537,-0.206531,0.488231,0.713431,0.927949,0.285944,0.42497,0.60032,0.867891,-0.08141,-1.305979,-0.880456,-0.095905,0.276681,-0.054913,0.342787,0.409996
filtered_MAL0809m.hg19.frag,0,-0.357692,-1.554207,-1.19339,-0.322284,-0.215599,-0.634922,-1.340898,1.381982,-0.801183,0.32408,-0.835032,-1.03879,-0.088726,0.161817,-1.370068,0.498836,-0.862588,-0.557971,-0.430435,-0.987099,0.629541,0.5022,-0.952949,-0.585406,-0.897295,-0.433384,-0.72409,-0.775101,0.751239,0.932094,-1.417267,-1.14599,-1.458837,-0.131232,-0.127539,0.154656,-0.661591,-0.820764,-0.989055,-0.397235,0.376392,-0.293625,0.378058,-0.220563,-0.745807,-1.34228,0.067787
filtered_MAL0842.hg19.frag,1,0.484681,0.432241,-0.545687,-0.024072,-0.443529,0.391429,0.776339,0.034146,0.708236,-0.608816,0.831001,1.438234,-0.448243,-0.234518,0.423489,-0.942478,0.318344,0.1268,0.073123,0.178995,-0.512153,0.57876,1.316376,0.853681,-0.243556,0.497344,0.766565,-0.039162,-0.028587,-1.077047,1.779586,0.644328,1.244082,1.367408,-0.814388,0.120666,0.625352,1.85652,1.258158,0.966142,-0.765454,-0.575113,0.138273,-0.035712,0.713386,0.911463,1.269005
