sample,label,FOXA2.10000.txt_amplitude,LEF1.10000.txt_amplitude,MIXL1.10000.txt_amplitude,NR1H2.10000.txt_amplitude,NR5A2.10000.txt_amplitude,ZIM3.10000.txt_amplitude,AHR.10000.txt_central_coverage,AR.10000.txt_central_coverage,ATF2.10000.txt_central_coverage,ATF7.10000.txt_central_coverage,CEBPA.10000.txt_central_coverage,EOMES.10000.txt_central_coverage,ERF.10000.txt_central_coverage,ESR1.10000.txt_central_coverage,FOXA1.10000.txt_central_coverage,FOXA2.10000.txt_central_coverage,FOXA3.10000.txt_central_coverage,GATA4.10000.txt_central_coverage,GATA6.10000.txt_central_coverage,HLF.10000.txt_central_coverage,HMGA1.10000.txt_central_coverage,HOXA2.10000.txt_central_coverage,IKZF2.10000.txt_central_coverage,IRF4.10000.txt_central_coverage,MYNN.10000.txt_central_coverage,NFIL3.10000.txt_central_coverage,NKX3.1.10000.txt_central_coverage,NR1H2.10000.txt_central_coverage,NR2F6.10000.txt_central_coverage,NR4A1.10000.txt_central_coverage,PHOX2B.10000.txt_central_coverage,PRDM1.10000.txt_central_coverage,RARA.10000.txt_central_coverage,SOX13.10000.txt_central_coverage,SOX5.10000.txt_central_coverage,SPIB.10000.txt_central_coverage,TCF3.10000.txt_central_coverage,TCF4.10000.txt_central_coverage,TCF7.10000.txt_central_coverage,TLX1.10000.txt_central_coverage,TP63.10000.txt_central_coverage,ZBTB11.10000.txt_central_coverage,ZIM3.10000.txt_central_coverage,ZNF317.10000.txt_central_coverage,ZNF382.10000.txt_central_coverage,ZSCAN16.10000.txt_central_coverage,ZSCAN4.10000.txt_central_coverage
filtered_MAL0801m.hg19.frag,0,0.66896,0.73789,6.23836,0.49074,0.04028,0.98641,0.96004,0.99605,0.95413,0.93121,0.78202,1.01495,0.87805,1.00076,0.97347,0.90749,0.94169,0.99832,0.99988,0.90672,1.07003,0.96296,0.90457,0.81091,0.86379,0.91823,1.01874,0.89897,0.93441,0.83317,1.05735,0.87719,0.78469,0.95335,0.94719,0.79406,0.82768,0.9524,0.95385,0.86407,0.99652,0.7625,0.98704,0.98904,1.01333,0.82789,0.90862
filtered_MAL0809.hg19.frag,1,1.29205,0.22696,5.74007,1.07745,0.17491,0.59517,0.9587,1.03303,0.96693,0.93558,0.82002,1.00193,0.88921,1.02999,0.98048,0.90924,0.96573,1.01473,1.02124,0.95903,0.93231,0.98483,0.93383,0.85179,0.89752,0.93407,1.04006,0.91852,0.95898,0.86485,1.00943,0.90319,0.78685,0.97487,0.96699,0.83974,0.83756,0.96474,0.97187,0.88421,0.99131,0.69228,1.00079,1.00738,1.00787,0.85672,0.93717
filtered_MAL0809m.hg19.frag,0,1.09048,0.23649,6.11938,0.45029,0.4995,0.78778,0.95346,0.989,0.92881,0.93517,0.78989,1.0041,0.85206,1.02155,0.94831,0.89499,0.916,1.00197,1.01192,0.89486,1.00857,0.9543,0.90104,0.80802,0.8851,0.91014,1.01745,0.90836,0.9214,0.82941,1.06443,0.86542,0.75557,0.93538,0.94843,0.81002,0.83447,0.94061,0.94972,0.84329,0.98503,0.75565,1.01178,0.99853,0.99707,0.81411,0.92735
filtered_MAL0842.hg19.frag,1,0.80177,0.50402,5.72232,0.63559,0.31251,0.69539,0.97141,1.02293,0.94348,0.94155,0.78365,1.01744,0.89634,1.00299,0.98038,0.93302,0.97538,0.99296,1.00516,0.93565,0.90008,0.97662,0.915,0.82168,0.88702,0.95618,1.04175,0.92953,0.9497,0.84665,0.99755,0.91536,0.81518,0.9902,0.98136,0.79068,0.83367,0.96919,0.99145,0.89281,1.01214,0.71264,1.00622,1.00182,1.01988,0.8711,0.96182
filtered_MAL0842m.hg19.frag,0,1.11987,0.67156,6.62415,0.64298,0.1204,1.17559,0.93978,1.0084,0.94321,0.92585,0.79544,1.01853,0.87907,0.99682,0.94654,0.89912,0.93486,1.01343,0.99897,0.92838,1.01308,0.95082,0.93254,0.83711,0.89174,0.92919,1.00207,0.90464,0.92465,0.81885,1.03915,0.90361,0.80974,0.95389,0.94857,0.79534,0.83303,0.96834,0.95806,0.85606,1.00171,0.74672,1.01508,1.00473,1.01722,0.83779,0.9135
filtered_MAL0851.hg19.frag,1,1.0484,0.26335,5.81417,0.89132,0.28776,0.79242,0.962,1.03273,0.95806,0.95861,0.76669,1.01854,0.89309,1.00644,0.98026,0.92073,0.94286,1.01003,1.02158,0.92405,0.94984,0.97135,0.90268,0.83743,0.90807,0.92689,1.02794,0.92894,0.94833,0.85921,1.00076,0.88313,0.79931,0.96718,0.96216,0.7969,0.85708,0.97678,0.94543,0.87642,1.01178,0.7048,1.02285,1.00132,1.01614,0.84618,0.89002
filtered_MAL0851m.hg19.frag,0,0.86293,0.62321,6.45519,0.64694,0.3444,0.69872,0.93729,1.01023,0.91072,0.91181,0.80689,1.00146,0.8688,0.99186,0.94781,0.90163,0.93947,0.97383,0.99343,0.93206,1.06267,0.95544,0.89354,0.80401,0.84735,0.92601,1.00349,0.90198,0.92636,0.84503,1.06546,0.87662,0.76729,0.95106,0.93989,0.83828,0.79892,0.95701,0.95653,0.8479,0.98022,0.77094,0.99283,0.99832,1.01446,0.83521,0.89725
filtered_MAL0866.hg19.frag,1,0.90494,0.36311,5.38936,0.60506,0.22789,1.34248,0.98664,1.02718,0.95172,0.93331,0.82047,1.01678,0.9212,1.00846,0.99661,0.95097,0.92994,1.00296,1.01037,0.91841,0.91978,0.96593,0.93863,0.86361,0.89461,0.93925,1.02491,0.93266,0.96676,0.88508,0.98537,0.89518,0.80343,0.98686,0.98705,0.81352,0.85277,0.97817,0.9948,0.85414,0.99955,0.72752,0.9839,1.02042,1.00845,0.86383,0.96246
filtered_MAL0866m.hg19.frag,0,0.96733,0.70242,6.39973,0.58757,0.17952,1.04174,0.95531,0.98853,0.97054,0.9582,0.83329,1.01015,0.86318,1.00015,0.95449,0.89061,0.92161,0.98987,0.9986,0.92387,1.05441,0.98266,0.91105,0.81366,0.82318,0.92083,1.01886,0.90836,0.91271,0.85152,1.07367,0.88311,0.78625,0.95667,0.93798,0.86946,0.81558,0.94755,0.94898,0.84376,0.97453,0.7782,0.98046,1.00096,0.99734,0.83428,0.91081
filtered_MAL0883.hg19.frag,1,1.30615,0.4238,5.81149,0.67523,0.4812,0.56304,0.9766,1.00768,0.95375,0.93587,0.79826,1.01174,0.86819,1.00314,0.97322,0.90165,0.92594,1.01076,1.02206,0.93158,0.95284,0.96521,0.91963,0.82934,0.87053,0.93921,1.01681,0.91294,0.94306,0.8502,1.03792,0.90335,0.82039,0.96279,0.93937,0.8179,0.83967,0.95974,0.96867,0.87217,0.98179,0.7249,1.01801,0.97957,1.00149,0.87439,0.92446
